mineral,year,ytd_flag,non_china_supplier_count,non_china_value_usd,hhi_value_0_1,hhi_value_0_10000,hts_codes,denominator_scope,data_status
bismuth,2018,false,7,4492425.0,0.461527795,4615.2779,8106,non_china_members_of_selected_18_partners,reported
bismuth,2019,false,5,4692910.0,0.5326879877,5326.8799,8106,non_china_members_of_selected_18_partners,reported
bismuth,2020,false,6,3872552.0,0.5020145042,5020.145,8106,non_china_members_of_selected_18_partners,reported
bismuth,2021,false,5,3207045.0,0.5096006359,5096.0064,8106,non_china_members_of_selected_18_partners,reported
bismuth,2022,false,5,6764805.0,0.4448325693,4448.3257,8106,non_china_members_of_selected_18_partners,reported
bismuth,2023,false,5,7154160.0,0.6627614773,6627.6148,8106,non_china_members_of_selected_18_partners,reported
bismuth,2024,false,4,10695899.0,0.6171832207,6171.8322,8106,non_china_members_of_selected_18_partners,reported
bismuth,2025,false,7,25481595.0,0.5785240206,5785.2402,8106,non_china_members_of_selected_18_partners,reported
bismuth,2026,false,0,,,,,non_china_members_of_selected_18_partners,missing_or_zero_denominator
bismuth,1993,true,2,46095.0,0.5408349238,5408.3492,8106,non_china_members_of_selected_18_partners,reported
bismuth,1994,true,3,319804.0,0.6460302244,6460.3022,8106,non_china_members_of_selected_18_partners,reported
bismuth,1995,true,4,370038.0,0.3646745179,3646.7452,8106,non_china_members_of_selected_18_partners,reported
bismuth,1996,true,3,463434.0,0.7193652694,7193.6527,8106,non_china_members_of_selected_18_partners,reported
bismuth,1997,true,2,411428.0,0.9225299678,9225.2997,8106,non_china_members_of_selected_18_partners,reported
bismuth,1998,true,3,822284.0,0.955223922,9552.2392,8106,non_china_members_of_selected_18_partners,reported
bismuth,1999,true,3,215059.0,0.6872472828,6872.4728,8106,non_china_members_of_selected_18_partners,reported
bismuth,2000,true,3,600289.0,0.5745562097,5745.5621,8106,non_china_members_of_selected_18_partners,reported
bismuth,2001,true,4,458205.0,0.3324469238,3324.4692,8106,non_china_members_of_selected_18_partners,reported
bismuth,2002,true,4,331839.0,0.2882950663,2882.9507,8106,non_china_members_of_selected_18_partners,reported
bismuth,2003,true,3,190878.0,0.4133076113,4133.0761,8106,non_china_members_of_selected_18_partners,reported
bismuth,2004,true,2,546881.0,0.5000816142,5000.8161,8106,non_china_members_of_selected_18_partners,reported
bismuth,2005,true,2,83263.0,0.5016596073,5016.5961,8106,non_china_members_of_selected_18_partners,reported
bismuth,2006,true,4,414640.0,0.8152110864,8152.1109,8106,non_china_members_of_selected_18_partners,reported
bismuth,2007,true,3,784086.0,0.5759488075,5759.4881,8106,non_china_members_of_selected_18_partners,reported
bismuth,2008,true,4,1175532.0,0.401350666,4013.5067,8106,non_china_members_of_selected_18_partners,reported
bismuth,2009,true,3,289756.0,0.6332770438,6332.7704,8106,non_china_members_of_selected_18_partners,reported
bismuth,2010,true,3,338799.0,0.5896938077,5896.9381,8106,non_china_members_of_selected_18_partners,reported
bismuth,2011,true,3,358991.0,0.4634751205,4634.7512,8106,non_china_members_of_selected_18_partners,reported
bismuth,2012,true,3,294487.0,0.5094968366,5094.9684,8106,non_china_members_of_selected_18_partners,reported
bismuth,2013,true,3,819872.0,0.3821494845,3821.4948,8106,non_china_members_of_selected_18_partners,reported
bismuth,2014,true,5,793975.0,0.2981142021,2981.142,8106,non_china_members_of_selected_18_partners,reported
bismuth,2015,true,4,274597.0,0.3976585572,3976.5856,8106,non_china_members_of_selected_18_partners,reported
bismuth,2016,true,3,124063.0,0.4108827525,4108.8275,8106,non_china_members_of_selected_18_partners,reported
bismuth,2017,true,4,1521993.0,0.4186575401,4186.5754,8106,non_china_members_of_selected_18_partners,reported
bismuth,2018,true,6,1307785.0,0.3598280018,3598.28,8106,non_china_members_of_selected_18_partners,reported
bismuth,2019,true,3,1134419.0,0.8139078882,8139.0789,8106,non_china_members_of_selected_18_partners,reported
bismuth,2020,true,5,1946743.0,0.4621218453,4621.2185,8106,non_china_members_of_selected_18_partners,reported
bismuth,2021,true,4,1524742.0,0.6495257965,6495.258,8106,non_china_members_of_selected_18_partners,reported
bismuth,2022,true,5,3279825.0,0.3619218241,3619.2182,8106,non_china_members_of_selected_18_partners,reported
bismuth,2023,true,5,2533501.0,0.6497128873,6497.1289,8106,non_china_members_of_selected_18_partners,reported
bismuth,2024,true,4,3722497.0,0.5952206085,5952.2061,8106,non_china_members_of_selected_18_partners,reported
bismuth,2025,true,4,14410643.0,0.6244881266,6244.8813,8106,non_china_members_of_selected_18_partners,reported
bismuth,2026,true,6,5862413.0,0.4418715721,4418.7157,8106,non_china_members_of_selected_18_partners,reported
chromium,1993,false,1,15770450.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1994,false,1,12564638.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1995,false,3,18371648.0,0.6533810755,6533.8108,2610,non_china_members_of_selected_18_partners,reported
chromium,1996,false,2,22143993.0,0.9997569839,9997.5698,2610,non_china_members_of_selected_18_partners,reported
chromium,1997,false,4,21395634.0,0.9883763597,9883.7636,2610,non_china_members_of_selected_18_partners,reported
chromium,1998,false,3,25559861.0,0.9993237996,9993.238,2610,non_china_members_of_selected_18_partners,reported
chromium,1999,false,2,15183350.0,0.97841823,9784.1823,2610,non_china_members_of_selected_18_partners,reported
chromium,2000,false,2,16691598.0,0.9281286492,9281.2865,2610,non_china_members_of_selected_18_partners,reported
chromium,2001,false,2,11519329.0,0.8702592883,8702.5929,2610,non_china_members_of_selected_18_partners,reported
chromium,2002,false,3,6548793.0,0.9941737953,9941.738,2610,non_china_members_of_selected_18_partners,reported
chromium,2003,false,2,9309664.0,0.9982448737,9982.4487,2610,non_china_members_of_selected_18_partners,reported
chromium,2004,false,1,16691328.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2005,false,2,23118588.0,0.9977834683,9977.8347,2610,non_china_members_of_selected_18_partners,reported
chromium,2006,false,3,23493217.0,0.998404751,9984.0475,2610,non_china_members_of_selected_18_partners,reported
chromium,2007,false,3,22644775.0,0.9977480887,9977.4809,2610,non_china_members_of_selected_18_partners,reported
chromium,2008,false,1,44759666.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2009,false,1,17509608.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2010,false,1,29520643.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2011,false,4,67833105.0,0.9989351837,9989.3518,2610,non_china_members_of_selected_18_partners,reported
chromium,2012,false,3,103846445.0,0.999843259,9998.4326,2610,non_china_members_of_selected_18_partners,reported
chromium,2013,false,2,53667732.0,0.9991762317,9991.7623,2610,non_china_members_of_selected_18_partners,reported
chromium,2014,false,3,40947430.0,0.8879025081,8879.0251,2610,non_china_members_of_selected_18_partners,reported
chromium,2015,false,4,28281875.0,0.9984634253,9984.6343,2610,non_china_members_of_selected_18_partners,reported
chromium,2016,false,3,26429200.0,0.9900296199,9900.2962,2610,non_china_members_of_selected_18_partners,reported
chromium,2017,false,3,33176870.0,0.953751465,9537.5147,2610,non_china_members_of_selected_18_partners,reported
chromium,2018,false,3,54704537.0,0.9937339798,9937.3398,2610,non_china_members_of_selected_18_partners,reported
chromium,2019,false,3,37733268.0,0.9925045241,9925.0452,2610,non_china_members_of_selected_18_partners,reported
chromium,2020,false,3,17925584.0,0.9651424911,9651.4249,2610,non_china_members_of_selected_18_partners,reported
chromium,2021,false,4,24942124.0,0.9528412181,9528.4122,2610,non_china_members_of_selected_18_partners,reported
chromium,2022,false,4,30384274.0,0.9746481805,9746.4818,2610,non_china_members_of_selected_18_partners,reported
chromium,2023,false,3,28530463.0,0.9815782455,9815.7825,2610,non_china_members_of_selected_18_partners,reported
chromium,2024,false,3,38026342.0,0.9798250076,9798.2501,2610,non_china_members_of_selected_18_partners,reported
chromium,2025,false,3,43832691.0,0.9872194587,9872.1946,2610,non_china_members_of_selected_18_partners,reported
chromium,2026,false,0,,,,,non_china_members_of_selected_18_partners,missing_or_zero_denominator
chromium,1993,true,1,5344800.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1994,true,1,3194943.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1995,true,3,5314270.0,0.5634890659,5634.8907,2610,non_china_members_of_selected_18_partners,reported
chromium,1996,true,1,7977753.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1997,true,3,10059534.0,0.9760232969,9760.233,2610,non_china_members_of_selected_18_partners,reported
chromium,1998,true,1,11736549.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,1999,true,2,6265335.0,0.9938120944,9938.1209,2610,non_china_members_of_selected_18_partners,reported
chromium,2000,true,2,6820083.0,0.9397598813,9397.5988,2610,non_china_members_of_selected_18_partners,reported
chromium,2001,true,2,4347104.0,0.8374791388,8374.7914,2610,non_china_members_of_selected_18_partners,reported
chromium,2002,true,2,4128997.0,0.9929723091,9929.7231,2610,non_china_members_of_selected_18_partners,reported
chromium,2003,true,1,4328534.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2004,true,1,4842076.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2005,true,1,5908751.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2006,true,1,11084506.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2007,true,1,7180883.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2008,true,1,15736581.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2009,true,1,11432069.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2010,true,1,7840849.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2011,true,2,12814660.0,0.99947683,9994.7683,2610,non_china_members_of_selected_18_partners,reported
chromium,2012,true,1,44275838.0,1.0,10000.0,2610,non_china_members_of_selected_18_partners,reported
chromium,2013,true,2,29984669.0,0.9985260674,9985.2607,2610,non_china_members_of_selected_18_partners,reported
chromium,2014,true,2,10750455.0,0.9986229612,9986.2296,2610,non_china_members_of_selected_18_partners,reported
