source_id,source_file,source_sheet,source_row_number,source_cell,source_marker_cell,source_country_label,geography,geography_code,metric,unit,year,raw_value,display_value,value,availability_status,raw_marker,footnote_ids,is_estimated,is_revised,data_status
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,14,C14,D14,Malaysiae,Malaysia,MYS,mine_production,metric_tons_reo_equivalent,2018,990,990,990,available,,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,14,E14,F14,Malaysiae,Malaysia,MYS,mine_production,metric_tons_reo_equivalent,2019,66,66,66,available,,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,14,G14,H14,Malaysiae,Malaysia,MYS,mine_production,metric_tons_reo_equivalent,2020,100,100,100,available,,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,14,I14,J14,Malaysiae,Malaysia,MYS,mine_production,metric_tons_reo_equivalent,2021,60,60,60,available,,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,14,K14,L14,Malaysiae,Malaysia,MYS,mine_production,metric_tons_reo_equivalent,2022,80,80,80,available,,,True,False,estimated
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,15,C15,D15,Russia,Russia,RUS,mine_production,metric_tons_reo_equivalent,2018,2700,"2,700",2700,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,15,E15,F15,Russia,Russia,RUS,mine_production,metric_tons_reo_equivalent,2019,2700,"2,700",2700,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,15,G15,H15,Russia,Russia,RUS,mine_production,metric_tons_reo_equivalent,2020,2600,"2,600",2600,available,,,False,False,reported
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,15,I15,J15,Russia,Russia,RUS,mine_production,metric_tons_reo_equivalent,2021,2500,"2,500",2500,available,r,,False,True,revised
usgs_myb2022_t8,data/raw/usgs_myb2022_rare_earths_tables.xlsx,T8,15,K15,L15,Russia,Russia,RUS,mine_production,metric_tons_reo_equivalent,2022,2600,"2,600",2600,available,e,,True,False,estimated
